epoch;loss;mean_squared_error;val_loss;val_mean_squared_error
0;0.8257144093513489;0.8257144093513489;0.7631564736366272;0.7631564736366272
1;0.5143923759460449;0.5143923759460449;0.8432503342628479;0.8432503342628479
2;0.3226329982280731;0.3226329982280731;0.9349696636199951;0.9349696636199951
3;0.21453739702701569;0.21453739702701569;0.8315557241439819;0.8315557241439819
4;0.1529056280851364;0.1529056280851364;0.8539695143699646;0.8539695143699646
5;0.12742742896080017;0.12742742896080017;0.8139424324035645;0.8139424324035645
6;0.1074703186750412;0.1074703186750412;0.8357716798782349;0.8357716798782349
7;0.09793708473443985;0.09793708473443985;0.8796958923339844;0.8796958923339844
8;0.09257400035858154;0.09257400035858154;0.8041048645973206;0.8041048645973206
9;0.08281902968883514;0.08281902968883514;0.7867373824119568;0.7867373824119568
10;0.07713343948125839;0.07713343948125839;0.775531530380249;0.775531530380249
11;0.07437147945165634;0.07437147945165634;0.8001596331596375;0.8001596331596375
12;0.07364899665117264;0.07364899665117264;0.8031609654426575;0.8031609654426575
13;0.06597384065389633;0.06597384065389633;0.769680917263031;0.769680917263031
14;0.06552121788263321;0.06552121788263321;0.7882829904556274;0.7882829904556274
15;0.06165912374854088;0.06165912374854088;0.7934449911117554;0.7934449911117554
