epoch;loss;mean_squared_error;val_loss;val_mean_squared_error
0;0.9371942281723022;0.9371942281723022;0.551055371761322;0.551055371761322
1;0.8437373638153076;0.8437373638153076;0.5929887890815735;0.5929887890815735
2;0.6946347951889038;0.6946347951889038;0.6305223703384399;0.6305223703384399
3;0.5322940945625305;0.5322940945625305;0.8096063733100891;0.8096063733100891
4;0.410709410905838;0.410709410905838;0.8269264698028564;0.8269264698028564
5;0.3088921904563904;0.3088921904563904;0.8670591115951538;0.8670591115951538
6;0.23506751656532288;0.23506751656532288;0.869118869304657;0.869118869304657
7;0.18752117455005646;0.18752117455005646;0.8443581461906433;0.8443581461906433
8;0.15739399194717407;0.15739399194717407;0.8506308197975159;0.8506308197975159
9;0.13878460228443146;0.13878460228443146;0.8698769807815552;0.8698769807815552
10;0.12260042876005173;0.12260042876005173;0.8495969176292419;0.8495969176292419
11;0.11229110509157181;0.11229110509157181;0.8432272672653198;0.8432272672653198
12;0.10489950329065323;0.10489950329065323;0.8174809813499451;0.8174809813499451
13;0.09995748847723007;0.09995748847723007;0.7950868010520935;0.7950868010520935
14;0.09151739627122879;0.09151739627122879;0.8124030232429504;0.8124030232429504
15;0.08981030434370041;0.08981030434370041;0.8416084051132202;0.8416084051132202
