epoch;loss;mean_squared_error;val_loss;val_mean_squared_error
0;0.9007675647735596;0.9007675647735596;0.6205974817276001;0.6205974817276001
1;0.752213716506958;0.752213716506958;0.651654064655304;0.651654064655304
2;0.630679726600647;0.630679726600647;0.7209222316741943;0.7209222316741943
3;0.4759310781955719;0.4759310781955719;0.7579238414764404;0.7579238414764404
4;0.34570249915122986;0.34570249915122986;0.7408058047294617;0.7408058047294617
5;0.25630417466163635;0.25630417466163635;0.8057959675788879;0.8057959675788879
6;0.19186320900917053;0.19186320900917053;0.8026421070098877;0.8026421070098877
7;0.14808019995689392;0.14808019995689392;0.8238458037376404;0.8238458037376404
8;0.12327113002538681;0.12327113002538681;0.8039202690124512;0.8039202690124512
9;0.10341039299964905;0.10341039299964905;0.8189105987548828;0.8189105987548828
10;0.09019703418016434;0.09019703418016434;0.7907664179801941;0.7907664179801941
11;0.08093666285276413;0.08093666285276413;0.7931963205337524;0.7931963205337524
12;0.07377441972494125;0.07377441972494125;0.8139949440956116;0.8139949440956116
13;0.06906978040933609;0.06906978040933609;0.7804940938949585;0.7804940938949585
14;0.06599633395671844;0.06599633395671844;0.8056116700172424;0.8056116700172424
15;0.05809347704052925;0.05809347704052925;0.7844999432563782;0.7844999432563782
16;0.05530224367976189;0.05530224367976189;0.8082788586616516;0.8082788586616516
17;0.055673036724328995;0.055673036724328995;0.786157488822937;0.786157488822937
18;0.05194522440433502;0.05194522440433502;0.7641268372535706;0.7641268372535706
19;0.04956253990530968;0.04956253990530968;0.7782014012336731;0.7782014012336731
20;0.04731709137558937;0.04731709137558937;0.7760443687438965;0.7760443687438965
