epoch;loss;mean_squared_error;val_loss;val_mean_squared_error
0;0.925076961517334;0.925076961517334;0.7356663942337036;0.7356663942337036
1;0.826748251914978;0.826748251914978;0.5877689123153687;0.5877689123153687
2;0.7249563932418823;0.7249563932418823;0.7470283508300781;0.7470283508300781
3;0.5942298173904419;0.5942298173904419;0.8068659901618958;0.8068659901618958
4;0.4921914339065552;0.4921914339065552;0.890081524848938;0.890081524848938
5;0.3573261499404907;0.3573261499404907;0.886100172996521;0.886100172996521
6;0.2657870948314667;0.2657870948314667;0.9317721724510193;0.9317721724510193
7;0.19477689266204834;0.19477689266204834;0.9569870233535767;0.9569870233535767
8;0.15304288268089294;0.15304288268089294;0.9476437568664551;0.9476437568664551
9;0.12350160628557205;0.12350160628557205;0.9145254492759705;0.9145254492759705
10;0.10379566252231598;0.10379566252231598;0.9380297660827637;0.9380297660827637
11;0.0902540385723114;0.0902540385723114;0.9198212623596191;0.9198212623596191
12;0.07941097766160965;0.07941097766160965;0.9224368929862976;0.9224368929862976
13;0.07566599547863007;0.07566599547863007;0.9322525262832642;0.9322525262832642
14;0.06833230704069138;0.06833230704069138;0.905893087387085;0.905893087387085
15;0.06359045952558517;0.06359045952558517;0.8776032328605652;0.8776032328605652
16;0.05930393934249878;0.05930393934249878;0.8774998784065247;0.8774998784065247
17;0.056610360741615295;0.056610360741615295;0.914789617061615;0.914789617061615
18;0.05688515678048134;0.05688515678048134;0.8798108696937561;0.8798108696937561
19;0.055983223021030426;0.055983223021030426;0.8872786164283752;0.8872786164283752
20;0.049349524080753326;0.049349524080753326;0.8647976517677307;0.8647976517677307
21;0.048523448407649994;0.048523448407649994;0.898987889289856;0.898987889289856
